IND	POP	CLUSTER	norm	norm_east	norm_west
CA118175	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118176	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118177	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118178	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118179	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118180	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118181	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118182	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118183	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118184	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118185	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118186	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118187	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118189	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118190	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118191	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118192	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118193	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118194	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118195	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118197	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118198	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118221	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118223	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118238	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118245	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118358	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118359	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118361	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118367	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118373	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118374	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118379	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118380	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118381	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118383	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118386	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118389	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118392	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118394	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118396	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118405	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118425	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118432	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118433	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118434	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118440	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118442	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118444	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118446	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118447	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118448	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118450	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118452	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118453	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118455	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118457	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118458	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118459	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118461	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118462	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118464	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118465	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118466	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118467	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118468	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118469	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118470	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118471	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118472	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118474	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118476	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118477	Bay of Plenty	East	TRUE	TRUE	FALSE
CA118480	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118481	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118483	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118484	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118486	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118487	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118489	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118490	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118492	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118493	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118494	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118495	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118496	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118497	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118498	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118499	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118501	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118502	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118506	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118507	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118508	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118509	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118515	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118517	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118518	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118519	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118525	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118526	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118527	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118537	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118538	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118540	Hauraki Gulf	East	TRUE	TRUE	FALSE
CA118551	Northland	East	TRUE	TRUE	FALSE
CA118552	Northland	East	TRUE	TRUE	FALSE
CA119003	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119004	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119005	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119008	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119016	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119027	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119028	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119045	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119048	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119052	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119053	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119054	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119055	Bay of Plenty	East	TRUE	TRUE	FALSE
CA119057	Bay of Plenty	East	TRUE	TRUE	FALSE
CA218002	East Cape	East	TRUE	TRUE	FALSE
CA218004	East Cape	East	TRUE	TRUE	FALSE
CA218005	East Cape	East	TRUE	TRUE	FALSE
CA218006	East Cape	East	TRUE	TRUE	FALSE
CA218007	East Cape	East	TRUE	TRUE	FALSE
CA218008	East Cape	East	TRUE	TRUE	FALSE
CA218009	East Cape	East	TRUE	TRUE	FALSE
CA218011	East Cape	East	TRUE	TRUE	FALSE
CA218012	East Cape	East	TRUE	TRUE	FALSE
CA218013	East Cape	East	TRUE	TRUE	FALSE
CA218014	East Cape	East	TRUE	TRUE	FALSE
CA218015	East Cape	East	TRUE	TRUE	FALSE
CA218016	East Cape	East	TRUE	TRUE	FALSE
CA218017	East Cape	East	TRUE	TRUE	FALSE
CA218018	East Cape	East	TRUE	TRUE	FALSE
CA218019	East Cape	East	TRUE	TRUE	FALSE
CA218020	East Cape	East	TRUE	TRUE	FALSE
CA218021	East Cape	East	TRUE	TRUE	FALSE
CA218022	East Cape	West	TRUE	TRUE	FALSE
CA218023	East Cape	East	TRUE	TRUE	FALSE
CA219001	Gisborne	West	TRUE	TRUE	FALSE
CA219003	Gisborne	East	TRUE	TRUE	FALSE
CA219005	Gisborne	West	TRUE	TRUE	FALSE
CA219006	Gisborne	East	TRUE	TRUE	FALSE
CA219008	Gisborne	West	TRUE	TRUE	FALSE
CA219009	Gisborne	West	TRUE	TRUE	FALSE
CA219011	Gisborne	West	TRUE	TRUE	FALSE
CA219016	Gisborne	West	TRUE	TRUE	FALSE
CA219020	Gisborne	East	TRUE	TRUE	FALSE
CA219023	Gisborne	East	TRUE	TRUE	FALSE
CA219027	Gisborne	West	TRUE	TRUE	FALSE
CA219028	Gisborne	West	TRUE	TRUE	FALSE
CA219030	Gisborne	West	TRUE	TRUE	FALSE
CA219037	Gisborne	East	TRUE	TRUE	FALSE
CA219038	Gisborne	West	TRUE	TRUE	FALSE
CA219042	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219044	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219045	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219047	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219049	Hawke's Bay	East	TRUE	FALSE	TRUE
CA219053	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219057	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219058	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219059	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219060	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219061	Hawke's Bay	East	TRUE	FALSE	TRUE
CA219062	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219064	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219065	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219068	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219069	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219070	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219074	Hawke's Bay	West	TRUE	FALSE	TRUE
CA219077	Hawke's Bay	East	TRUE	FALSE	TRUE
CA219078	Hawke's Bay	West	TRUE	FALSE	TRUE
CA715001	Tasman Bay	West	TRUE	FALSE	TRUE
CA715002	Tasman Bay	West	TRUE	FALSE	TRUE
CA715003	Tasman Bay	West	TRUE	FALSE	TRUE
CA715004	Tasman Bay	West	TRUE	FALSE	TRUE
CA719001	Tasman Bay	West	TRUE	FALSE	TRUE
CA719004	Tasman Bay	West	TRUE	FALSE	TRUE
CA719005	Tasman Bay	West	TRUE	FALSE	TRUE
CA719012	Tasman Bay	West	TRUE	FALSE	TRUE
CA719015	Tasman Bay	West	TRUE	FALSE	TRUE
CA719018	Tasman Bay	West	TRUE	FALSE	TRUE
CA719019	Tasman Bay	West	TRUE	FALSE	TRUE
CA719027	Tasman Bay	West	TRUE	FALSE	TRUE
CA719029	Tasman Bay	West	TRUE	FALSE	TRUE
CA719030	Tasman Bay	West	TRUE	FALSE	TRUE
CA719031	Tasman Bay	West	TRUE	FALSE	TRUE
CA719033	Tasman Bay	West	TRUE	FALSE	TRUE
CA719038	Tasman Bay	West	TRUE	FALSE	TRUE
CA719039	Tasman Bay	West	TRUE	FALSE	TRUE
CA719040	Tasman Bay	West	TRUE	FALSE	TRUE
CA719041	Tasman Bay	West	TRUE	FALSE	TRUE
CA719046	Tasman Bay	West	TRUE	FALSE	TRUE
CA719050	Tasman Bay	West	TRUE	FALSE	TRUE
CA719051	Tasman Bay	West	TRUE	FALSE	TRUE
CA719056	Tasman Bay	West	TRUE	FALSE	TRUE
CA719057	Tasman Bay	West	TRUE	FALSE	TRUE
CA719074	Tasman Bay	West	TRUE	FALSE	TRUE
CA719075	Tasman Bay	West	TRUE	FALSE	TRUE
CA719082	Tasman Bay	West	TRUE	FALSE	TRUE
CA719085	Tasman Bay	West	TRUE	FALSE	TRUE
CA719090	Tasman Bay	West	TRUE	FALSE	TRUE
CA719094	Tasman Bay	West	TRUE	FALSE	TRUE
CA719098	Tasman Bay	West	TRUE	FALSE	TRUE
CA719099	Tasman Bay	West	TRUE	FALSE	TRUE
CA719102	Karamea Bight	West	TRUE	FALSE	TRUE
CA719103	Karamea Bight	West	TRUE	FALSE	TRUE
CA719104	Karamea Bight	West	TRUE	FALSE	TRUE
CA719105	Karamea Bight	West	TRUE	FALSE	TRUE
CA719107	Karamea Bight	West	TRUE	FALSE	TRUE
CA719111	Karamea Bight	West	TRUE	FALSE	TRUE
CA719114	Karamea Bight	West	TRUE	FALSE	TRUE
CA719115	Karamea Bight	West	TRUE	FALSE	TRUE
CA719122	Karamea Bight	West	TRUE	FALSE	TRUE
CA719123	Karamea Bight	West	TRUE	FALSE	TRUE
CA719124	Karamea Bight	West	TRUE	FALSE	TRUE
CA719127	Karamea Bight	West	TRUE	FALSE	TRUE
CA719129	Karamea Bight	West	TRUE	FALSE	TRUE
CA719131	Karamea Bight	West	TRUE	FALSE	TRUE
CA719134	Karamea Bight	West	TRUE	FALSE	TRUE
CA719136	Karamea Bight	West	TRUE	FALSE	TRUE
CA719139	Karamea Bight	West	TRUE	FALSE	TRUE
CA719144	Karamea Bight	West	TRUE	FALSE	TRUE
CA719149	Karamea Bight	West	TRUE	FALSE	TRUE
CA722001	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722002	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722004	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722005	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722006	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722007	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722008	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722010	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722011	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722012	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722013	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722014	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722015	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722016	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722017	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722018	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722019	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722020	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722021	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722022	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722023	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722024	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722025	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722026	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722027	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722028	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722029	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722030	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722031	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722032	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722033	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722034	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722035	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA722036	Marlborough Sounds	West	TRUE	FALSE	TRUE
CA815001	Kapiti Coast	West	TRUE	FALSE	TRUE
CA815002	Kapiti Coast	West	TRUE	FALSE	TRUE
CA815003	Kapiti Coast	West	TRUE	FALSE	TRUE
CA815004	Kapiti Coast	West	TRUE	FALSE	TRUE
CA818007	West Coast	West	TRUE	FALSE	TRUE
CA818011	West Coast	West	TRUE	FALSE	TRUE
CA818013	West Coast	West	TRUE	FALSE	TRUE
CA818015	West Coast	West	TRUE	FALSE	TRUE
CA818017	West Coast	West	TRUE	FALSE	TRUE
CA818019	West Coast	West	TRUE	FALSE	TRUE
CA818022	West Coast	West	TRUE	FALSE	TRUE
CA818027	West Coast	West	TRUE	FALSE	TRUE
CA818044	West Coast	West	TRUE	FALSE	TRUE
CA818051	Cape Reinga	East	TRUE	FALSE	TRUE
CA818052	Cape Reinga	East	TRUE	FALSE	TRUE
CA818053	Cape Reinga	West	TRUE	FALSE	TRUE
CA818054	Cape Reinga	East	TRUE	FALSE	TRUE
CA818055	Cape Reinga	East	TRUE	FALSE	TRUE
CA818056	Cape Reinga	West	TRUE	FALSE	TRUE
CA818057	Cape Reinga	East	TRUE	FALSE	TRUE
CA818058	Cape Reinga	East	TRUE	FALSE	TRUE
CA818059	Cape Reinga	East	TRUE	FALSE	TRUE
CA818060	Cape Reinga	East	TRUE	FALSE	TRUE
CA818062	West Coast	West	TRUE	FALSE	TRUE
CA818065	West Coast	West	TRUE	FALSE	TRUE
CA818066	West Coast	West	TRUE	FALSE	TRUE
CA818068	West Coast	West	TRUE	FALSE	TRUE
CA818070	West Coast	West	TRUE	FALSE	TRUE
CA818071	West Coast	West	TRUE	FALSE	TRUE
CA818074	West Coast	West	TRUE	FALSE	TRUE
CA818075	West Coast	West	TRUE	FALSE	TRUE
CA818077	West Coast	West	TRUE	FALSE	TRUE
CA818083	West Coast	West	TRUE	FALSE	TRUE
CA818084	West Coast	West	TRUE	FALSE	TRUE
CA818088	West Coast	West	TRUE	FALSE	TRUE
CA818089	West Coast	West	TRUE	FALSE	TRUE
CA818097	West Coast	West	TRUE	FALSE	TRUE
CA818099	West Coast	West	TRUE	FALSE	TRUE
CA818105	West Coast	West	TRUE	FALSE	TRUE
CA819001	West Coast	West	TRUE	FALSE	TRUE
CA819002	West Coast	West	TRUE	FALSE	TRUE
CA819004	West Coast	West	TRUE	FALSE	TRUE
CA819006	West Coast	West	TRUE	FALSE	TRUE
CA819011	West Coast	West	TRUE	FALSE	TRUE
CA819012	West Coast	West	TRUE	FALSE	TRUE
CA819013	West Coast	West	TRUE	FALSE	TRUE
CA819015	West Coast	West	TRUE	FALSE	TRUE
CA819020	West Coast	East	TRUE	FALSE	TRUE
CA819025	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819028	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819031	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819033	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819035	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819037	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819042	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819045	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819049	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819050	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819053	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819054	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819055	Kapiti Coast	West	TRUE	FALSE	TRUE
CA819059	West Coast	West	TRUE	FALSE	TRUE
CA819060	West Coast	West	TRUE	FALSE	TRUE
CA819062	West Coast	West	TRUE	FALSE	TRUE
CA819065	West Coast	West	TRUE	FALSE	TRUE
CA819069	West Coast	West	TRUE	FALSE	TRUE
CA819071	West Coast	West	TRUE	FALSE	TRUE
CA819073	West Coast	West	TRUE	FALSE	TRUE
CA819074	West Coast	West	TRUE	FALSE	TRUE
CA819075	West Coast	West	TRUE	FALSE	TRUE
CA819076	West Coast	West	TRUE	FALSE	TRUE
CA819077	West Coast	West	TRUE	FALSE	TRUE
CA819079	West Coast	West	TRUE	FALSE	TRUE
CA819080	West Coast	West	TRUE	FALSE	TRUE
CA819082	West Coast	West	TRUE	FALSE	TRUE
CA819083	West Coast	West	TRUE	FALSE	TRUE
CA819085	West Coast	West	TRUE	FALSE	TRUE
CA819086	West Coast	West	TRUE	FALSE	TRUE
CA819087	West Coast	West	TRUE	FALSE	TRUE
CA819088	West Coast	West	TRUE	FALSE	TRUE
CA819103	West Coast	West	TRUE	FALSE	TRUE
CA819105	West Coast	West	TRUE	FALSE	TRUE
CA819107	West Coast	West	TRUE	FALSE	TRUE
